"","field_name","crop1","crop2","crop3","crop4","crop5","crop6","yield.1","output.1","fertcost.1","seedcost.1","herbcost.1","sundry.1","varcost.1","gmargin.1","fuelcost.1","labcost.1","opcost.1","grossprof.1","rotgrossprof.1","yield.2","output.2","fertcost.2","seedcost.2","herbcost.2","sundry.2","varcost.2","gmargin.2","fuelcost.2","labcost.2","opcost.2","grossprof.2","rotgrossprof.2","yield.3","output.3","fertcost.3","seedcost.3","herbcost.3","sundry.3","varcost.3","gmargin.3","fuelcost.3","labcost.3","opcost.3","grossprof.3","rotgrossprof.3","yield.4","output.4","fertcost.4","seedcost.4","herbcost.4","sundry.4","varcost.4","gmargin.4","fuelcost.4","labcost.4","opcost.4","grossprof.4","rotgrossprof.4","yield.5","output.5","fertcost.5","seedcost.5","herbcost.5","sundry.5","varcost.5","gmargin.5","fuelcost.5","labcost.5","opcost.5","grossprof.5","rotgrossprof.5","yield.6","output.6","fertcost.6","seedcost.6","herbcost.6","sundry.6","varcost.6","gmargin.6","fuelcost.6","labcost.6","opcost.6","grossprof.6","rotgrossprof.6","totalrotgrossprof"
"11","HD-HR.N.l","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,33,18,51,150.07,25.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,157,80,237,384.73,64.12,5.08,1185.66,134.4,76,88.21,151,449.61,736.05,106,53,159,577.05,96.18,5.0196,1139.08,190.32,90,191.56,182,653.88,485.2,105,54,159,326.2,54.37,2.37,1016.95,197.22,23.49,65.31,192,478.02,538.93,160,83,243,295.93,49.32,5.64,1252.3,246.32,90,191.56,182,709.88,542.42,106,54,160,382.42,63.74,352.74
"12","VD-HR.N.l","setaside","sosr","springbarley","winterwheat","wosr","winterwheat",0,223,0,0,19.93,2,21.93,201.07,33,18,51,150.07,25.01,2.09,923.15,114.54,36.67,10.21,140,301.42,621.73,157,80,237,384.73,64.12,5.08,1185.66,134.4,76,88.21,151,449.61,736.05,106,53,159,577.05,96.18,5.0196,1139.08,190.32,90,191.56,182,653.88,485.2,105,54,159,326.2,54.37,2.37,1016.95,197.22,23.49,65.31,192,478.02,538.93,160,83,243,295.93,49.32,5.64,1252.3,246.32,90,191.56,182,709.88,542.42,106,54,160,382.42,63.74,352.74
"13","HD-HR.C.h","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",7.85,1655.62,270.32,90,254.65,182,796.97,858.66,143,73,216,642.66,107.11,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,4.43,1042.55,52.58,138.7,107.89,81,380.17,662.38,231,120,351,311.38,51.9,7.85,1655.62,270.32,90,240.07,182,782.39,873.24,143,73,216,657.24,109.54,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,3.36,1348.6,197.22,23.49,74.1,192,486.81,861.79,169,87,256,605.79,100.97,567.02
"14","VD-HR.C.h","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",7.85,1655.62,270.32,90,254.65,182,796.97,858.66,143,73,216,642.66,107.11,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,4.43,1042.55,52.58,138.7,107.89,81,380.17,662.38,231,120,351,311.38,51.9,7.85,1655.62,270.32,90,240.07,182,782.39,873.24,143,73,216,657.24,109.54,5.3489,1236.62,166.4,76,37.69,151,431.09,805.53,141,72,213,592.53,98.75,3.36,1348.6,197.22,23.49,74.1,192,486.81,861.79,169,87,256,605.79,100.97,567.02
"15","HD-HR.C.m","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",6.95,1491.38,270.32,90,254.65,182,796.97,694.41,131,66,197,497.41,82.9,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,3.24,822.4,52.58,138.7,107.89,81,380.17,442.23,209,110,319,123.23,20.54,6.95,1491.38,270.32,90,240.07,182,782.39,708.99,131,66,197,511.99,85.33,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,2.86,1181.1,197.22,23.49,74.1,192,486.81,694.29,166,86,252,442.29,73.72,447.79
"16","VD-HR.C.m","winterwheat","springbarley","springbeans","winterwheat","springbarley","wosr",6.95,1491.38,270.32,90,254.65,182,796.97,694.41,131,66,197,497.41,82.9,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,3.24,822.4,52.58,138.7,107.89,81,380.17,442.23,209,110,319,123.23,20.54,6.95,1491.38,270.32,90,240.07,182,782.39,708.99,131,66,197,511.99,85.33,5.0552,1180.96,166.4,76,37.69,151,431.09,749.87,128,66,194,555.87,92.65,2.86,1181.1,197.22,23.49,74.1,192,486.81,694.29,166,86,252,442.29,73.72,447.79
"17","HD-HR.C.l","winterwheat","springbarley","driedpeas","winterwheat","springbarley","wosr",5.86,1292.45,214.32,86.4,254.65,182,737.37,555.08,116,59,175,380.08,63.35,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,4.36,1204,43.6,141,107.89,155,447.49,756.51,208,107,315,441.51,73.59,5.86,1292.45,214.32,86.4,240.07,182,722.79,569.66,116,59,175,394.66,65.78,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,2.37,1016.95,197.22,23.49,74.1,192,486.81,530.14,165,85,250,280.14,46.69,423.27
"18","VD-HR.C.l","winterwheat","springbarley","driedpeas","winterwheat","springbarley","wosr",5.86,1292.45,214.32,86.4,254.65,182,737.37,555.08,116,59,175,380.08,63.35,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,4.36,1204,43.6,141,107.89,155,447.49,756.51,208,107,315,441.51,73.59,5.86,1292.45,214.32,86.4,240.07,182,722.79,569.66,116,59,175,394.66,65.78,4.7793,1128.68,166.4,76,37.69,151,431.09,697.59,116,60,176,521.59,86.93,2.37,1016.95,197.22,23.49,74.1,192,486.81,530.14,165,85,250,280.14,46.69,423.27
"19","LD-HR.E.h","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",7.84,1653.8,262.32,72,124.51,182,640.83,1012.97,127,64,191,821.97,137,4.43,1042.55,52.58,115.9,129.85,81,379.33,663.22,241,125,366,297.22,49.54,7.84,1653.8,262.32,72,124.51,182,640.83,1012.97,127,64,191,821.97,137,6.7106,1367.16,220.62,77.76,183.01,158,639.39,727.77,142,73,215,512.77,85.46,3.36,1348.6,197.22,23.49,60.45,192,473.16,875.44,160,82,242,633.44,105.57,7.84,1653.8,262.32,72,124.51,182,640.83,1012.97,141,72,213,799.97,133.33,647.9
"20","MD-HR.E.h","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",7.84,1653.8,262.32,72,124.51,182,640.83,1012.97,127,64,191,821.97,137,4.43,1042.55,52.58,115.9,129.85,81,379.33,663.22,241,125,366,297.22,49.54,7.84,1653.8,262.32,72,124.51,182,640.83,1012.97,127,64,191,821.97,137,6.7106,1367.16,220.62,77.76,183.01,158,639.39,727.77,142,73,215,512.77,85.46,3.36,1348.6,197.22,23.49,60.45,192,473.16,875.44,160,82,242,633.44,105.57,7.84,1653.8,262.32,72,124.51,182,640.83,1012.97,141,72,213,799.97,133.33,647.9
"21","LD-HR.E.m","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",6.94,1489.55,262.32,72,124.51,182,640.83,848.72,114,58,172,676.72,112.79,3.24,822.4,52.58,115.9,129.85,81,379.33,443.07,217,113,330,113.07,18.85,6.94,1489.55,262.32,72,124.51,182,640.83,848.72,114,58,172,676.72,112.79,5.9897,1244.24,220.62,77.76,183.01,158,639.39,604.85,129,66,195,409.85,68.31,2.86,1181.1,197.22,23.49,60.45,192,473.16,707.94,157,81,238,469.94,78.32,6.94,1489.55,262.32,72,124.51,182,640.83,848.72,124,64,188,660.72,110.12,501.18
"22","MD-HR.E.m","winterwheat","springbeans","winterwheat","winterbarley","wosr","winterwheat",6.94,1489.55,262.32,72,124.51,182,640.83,848.72,114,58,172,676.72,112.79,3.24,822.4,52.58,115.9,129.85,81,379.33,443.07,217,113,330,113.07,18.85,6.94,1489.55,262.32,72,124.51,182,640.83,848.72,114,58,172,676.72,112.79,5.9897,1244.24,220.62,77.76,183.01,158,639.39,604.85,129,66,195,409.85,68.31,2.86,1181.1,197.22,23.49,60.45,192,473.16,707.94,157,81,238,469.94,78.32,6.94,1489.55,262.32,72,124.51,182,640.83,848.72,124,64,188,660.72,110.12,501.18
"23","LD-HR.E.l","winterwheat","driedpeas","winterwheat","winterbarley","wosr","winterwheat",5.8,1281.5,206.32,72,124.51,182,584.83,696.67,100,51,151,545.67,90.95,4.36,1204,43.6,141,154.21,155,493.81,710.19,208,107,315,395.19,65.87,5.8,1281.5,206.32,72,124.51,182,584.83,696.67,100,51,151,545.67,90.95,5.2777,1122.85,220.62,77.76,183.01,158,639.39,483.46,115,59,174,309.46,51.58,2.37,1016.95,197.22,23.49,60.45,192,473.16,543.79,156,80,236,307.79,51.3,5.8,1281.5,206.32,72,124.51,182,584.83,696.67,106,54,160,536.67,89.45,440.1
"24","MD-HR.E.l","winterwheat","driedpeas","winterwheat","winterbarley","wosr","winterwheat",5.8,1281.5,206.32,72,124.51,182,584.83,696.67,100,51,151,545.67,90.95,4.36,1204,43.6,141,154.21,155,493.81,710.19,208,107,315,395.19,65.87,5.8,1281.5,206.32,72,124.51,182,584.83,696.67,100,51,151,545.67,90.95,5.2777,1122.85,220.62,77.76,183.01,158,639.39,483.46,115,59,174,309.46,51.58,2.37,1016.95,197.22,23.49,60.45,192,473.16,543.79,156,80,236,307.79,51.3,5.8,1281.5,206.32,72,124.51,182,584.83,696.67,106,54,160,536.67,89.45,440.1
"25","LD-HR.N.h","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",7.79,1644.68,246.32,72,186.21,182,686.53,958.15,127,64,191,767.15,127.86,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,7.79,1644.68,246.32,72,186.21,182,686.53,958.15,127,64,191,767.15,127.86,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,590.22
"26","MD-HR.N.h","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",7.79,1644.68,246.32,72,186.21,182,686.53,958.15,127,64,191,767.15,127.86,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,7.79,1644.68,246.32,72,186.21,182,686.53,958.15,127,64,191,767.15,127.86,6.6839,1362.6,212.62,73.8,94.56,158,538.98,823.62,132,68,200,623.62,103.94,4.43,1042.55,52.58,115.9,109.18,81,358.66,683.88,201,103,304,379.88,63.31,590.22
"27","LD-HR.N.m","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",6.91,1484.08,246.32,72,186.21,182,686.53,797.54,114,58,172,625.54,104.26,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,6.91,1484.08,246.32,72,186.21,182,686.53,797.54,114,58,172,625.54,104.26,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,444.18
"28","MD-HR.N.m","winterwheat","winterbarley","springbeans","winterwheat","winterbarley","springbeans",6.91,1484.08,246.32,72,186.21,182,686.53,797.54,114,58,172,625.54,104.26,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,6.91,1484.08,246.32,72,186.21,182,686.53,797.54,114,58,172,625.54,104.26,5.9719,1241.21,212.62,73.8,94.56,158,538.98,702.23,119,61,180,522.23,87.04,3.24,822.4,52.58,115.9,109.18,81,358.66,463.74,184,95,279,184.74,30.79,444.18
"29","LD-HR.N.l","winterwheat","winterbarley","driedpeas","winterwheat","winterbarley","driedpeas",5.64,1252.3,190.32,72,186.21,182,630.53,621.77,100,51,151,470.77,78.46,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,5.64,1252.3,190.32,72,186.21,182,630.53,621.77,100,51,151,470.77,78.46,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,446.94
"30","MD-HR.N.l","winterwheat","winterbarley","driedpeas","winterwheat","winterbarley","driedpeas",5.64,1252.3,190.32,72,186.21,182,630.53,621.77,100,51,151,470.77,78.46,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,5.64,1252.3,190.32,72,186.21,182,630.53,621.77,100,51,151,470.77,78.46,5.251,1118.3,212.62,73.8,94.56,158,538.98,579.32,105,54,159,420.32,70.05,4.36,1204,43.6,141,131.61,155,471.21,732.79,187,96,283,449.79,74.96,446.94
"31","LD-HR.C.h","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",7.79,1644.68,246.32,72,67,182,567.32,1077.36,146,75,221,856.36,142.73,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,7.79,1644.68,246.32,72,67,182,567.32,1077.36,132,67,199,878.36,146.39,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,661.28
"32","MD-HR.C.h","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",7.79,1644.68,246.32,72,67,182,567.32,1077.36,146,75,221,856.36,142.73,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,7.79,1644.68,246.32,72,67,182,567.32,1077.36,132,67,199,878.36,146.39,4.9573,1162.41,134.4,76,27.24,151,388.64,773.77,124,63,187,586.77,97.79,3.36,1348.6,197.22,23.49,150.15,192,562.86,785.74,169,87,256,529.74,88.29,661.28
"33","LD-HR.C.m","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",6.91,1484.08,246.32,72,67,182,567.32,916.76,129,67,196,720.76,120.13,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,6.91,1484.08,246.32,72,67,182,567.32,916.76,119,61,180,736.76,122.79,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,548.72
"34","MD-HR.C.m","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",6.91,1484.08,246.32,72,67,182,567.32,916.76,129,67,196,720.76,120.13,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,6.91,1484.08,246.32,72,67,182,567.32,916.76,119,61,180,736.76,122.79,4.6903,1111.81,134.4,76,27.24,151,388.64,723.17,114,58,172,551.17,91.86,2.86,1181.1,197.22,23.49,150.15,192,562.86,618.24,166,86,252,366.24,61.04,548.72
"35","LD-HR.C.l","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",5.64,1252.3,190.32,72,67,182,511.32,740.98,111,57,168,572.98,95.5,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,5.64,1252.3,190.32,72,67,182,511.32,740.98,105,54,159,581.98,97,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,432.62
"36","MD-HR.C.l","winterwheat","springbarley","wosr","winterwheat","springbarley","wosr",5.64,1252.3,190.32,72,67,182,511.32,740.98,111,57,168,572.98,95.5,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,5.64,1252.3,190.32,72,67,182,511.32,740.98,105,54,159,581.98,97,4.4322,1062.9,134.4,76,27.24,151,388.64,674.26,105,53,158,516.26,86.04,2.37,1016.95,197.22,23.49,150.15,192,562.86,454.09,165,85,250,204.09,34.02,432.62
"37","LD-LR.E.h","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",7.79,1644.68,246.32,72,107.22,182,607.54,1037.14,116,59,175,862.14,143.69,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,7.79,1644.68,246.32,72,107.22,182,607.54,1037.14,116,59,175,862.14,143.69,6.6215,1431.42,246.32,72,107.22,182,607.54,823.88,116,59,175,648.88,108.15,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,7.79,1644.68,246.32,72,107.22,182,607.54,1037.14,116,59,175,862.14,143.69,751.86
"38","MD-LR.E.h","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",7.79,1644.68,246.32,72,107.22,182,607.54,1037.14,116,59,175,862.14,143.69,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,7.79,1644.68,246.32,72,107.22,182,607.54,1037.14,116,59,175,862.14,143.69,6.6215,1431.42,246.32,72,107.22,182,607.54,823.88,116,59,175,648.88,108.15,3.36,1348.6,197.22,23.49,0,192,412.71,935.89,196,102,298,637.89,106.32,7.79,1644.68,246.32,72,107.22,182,607.54,1037.14,116,59,175,862.14,143.69,751.86
"39","LD-LR.E.m","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",6.91,1484.08,246.32,72,107.22,182,607.54,876.54,106,54,160,716.54,119.42,2.86,1181.1,197.22,23.49,0,192,412.71,768.39,180,94,274,494.39,82.4,6.91,1484.08,246.32,72,107.22,182,607.54,876.54,106,54,160,716.54,119.42,5.8735,1294.91,246.32,72,107.22,182,607.54,687.37,106,54,160,527.37,87.9,2.86,1181.1,197.22,23.49,0,192,412.71,768.39,180,94,274,494.39,82.4,6.91,1484.08,246.32,72,107.22,182,607.54,876.54,106,54,160,716.54,119.42,610.96
"40","MD-LR.E.m","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",6.91,1484.08,246.32,72,107.22,182,607.54,876.54,106,54,160,716.54,119.42,2.86,1181.1,197.22,23.49,0,192,412.71,768.39,180,94,274,494.39,82.4,6.91,1484.08,246.32,72,107.22,182,607.54,876.54,106,54,160,716.54,119.42,5.8735,1294.91,246.32,72,107.22,182,607.54,687.37,106,54,160,527.37,87.9,2.86,1181.1,197.22,23.49,0,192,412.71,768.39,180,94,274,494.39,82.4,6.91,1484.08,246.32,72,107.22,182,607.54,876.54,106,54,160,716.54,119.42,610.96
"41","LD-LR.E.l","winterwheat","wosr","winterwheat","winterwheat","wosr","winterwheat",5.64,1252.3,190.32,72,107.22,182,551.54,700.76,95,48,143,557.76,92.96,2.37,1016.95,197.22,23.49,0,192,412.71,604.24,166,86,252,352.24,58.71,5.64,1252.3,190.32,72,107.22,182,551.54,700.76,95,48,143,557.76,92.96,4.794,1097.9,190.32,72,107.22,182,551.54,546.36,95,48,143,403.36,67.23,2.37,1016.95,197.22,23.49,0,192,412.71,604.24,166,86,252,352.24,58.71,5.64,1252.3,190.32,72,107.22,182,551.54,700.76,95,48,143,557.76,92.96,463.53
